State,Pop 2021,Total Murders,Total Firearms,Handguns,Rifles,Shotguns,Firearms (unknown type),Knives or Cutting instruments,Other Weapons,"Hands, Fist, Feet, etc."
Alabama,4934193,2,1,0,0,0,1,,1,0
Alaska,724357,62,37,7,3,3,24,13,8,4
Arizona,7520103,404,249,162,8,9,70,50,93,12
Arkansas,3033946,250,168,92,11,4,61,23,52,7
California,39613493,1830,1274,886,37,34,317,258,195,103
Colorado,5893634,218,137,88,7,4,38,37,22,22
Connecticut,3552821,102,72,30,0,1,41,11,9,10
Delaware,990334,52,44,20,0,1,23,3,4,1
District of Columbia,714153,116,90,89,0,0,1,15,5,6
Georgia,10830007,672,542,490,15,5,32,37,85,8
Hawaii,1406430,39,4,1,1,0,2,9,10,16
Idaho,1860123,28,13,8,4,1,0,6,3,6
Illinois,12569321,814,693,596,24,3,70,53,50,18
Indiana,6805663,360,291,147,14,6,124,20,39,10
Iowa,3167974,100,57,25,1,5,26,18,18,7
Kansas,2917224,129,79,44,4,7,24,16,26,8
Kentucky,4480713,263,192,128,6,6,52,25,33,13
Louisiana,4627002,566,460,216,23,12,209,46,42,18
Maine,1354522,23,12,4,0,0,8,3,4,4
Maryland,6065436,475,370,339,5,3,23,44,50,11
Massachusetts,6912239,170,99,34,0,0,65,36,29,6
Michigan,9992427,567,381,185,13,12,171,55,101,30
Minnesota,5706398,113,69,58,1,2,8,14,23,7
Mississippi,2966407,149,111,90,4,3,14,12,20,6
Missouri,6169038,596,514,224,22,8,260,25,48,9
Montana,1085004,41,17,10,2,1,4,12,5,7
Nebraska,1951996,43,31,27,2,2,0,4,5,3
Nevada,3185786,270,201,16,58,0,127,28,30,11
New Hampshire,1372203,14,7,4,0,1,2,5,1,1
New Jersey,8874520,324,242,175,7,4,56,42,29,11
New Mexico,2105005,113,71,20,2,0,49,20,19,3
New York,19299981,547,292,233,6,9,44,113,91,51
North Carolina,10701022,547,413,279,9,26,99,33,64,37
North Dakota,770026,9,5,2,1,0,2,1,2,1
Ohio,11714618,682,485,226,5,11,243,46,128,23
Oklahoma,3990443,239,163,131,5,5,22,25,32,19
Oregon,4289439,100,58,34,2,2,20,17,22,3
Pennsylvania,12804123,735,567,452,11,8,96,63,73,32
Rhode Island,1061509,20,8,1,0,0,7,4,5,3
South Carolina,5277830,387,312,183,11,8,110,29,36,10
South Dakota,896581,21,8,6,0,0,2,7,2,4
Tennessee,6944260,525,407,271,19,11,106,42,64,12
Texas,29730311,1364,1012,594,40,26,352,156,131,65
Utah,3310774,73,46,32,0,3,11,7,12,8
Vermont,623251,14,6,1,0,0,5,6,1,1
Virginia,8603985,453,338,156,11,11,160,44,54,17
Washington,7796941,228,134,75,1,1,57,36,40,18
West Virginia,1767859,79,45,25,4,4,12,8,23,3
Wisconsin,5852490,186,149,111,4,2,32,11,17,9
Wyoming,581075,14,6,5,0,0,1,3,3,2
